wkt_geom,id,left,top,right,bottom,row_index,col_index
"Polygon ((85.0000000000322018 0.58637819992733142, 90.0000000000322018 0.58637819992733142, 90.0000000000322018 -4.41362180007266858, 85.0000000000322018 -4.41362180007266858, 85.0000000000322018 0.58637819992733142))",36,85,0.5863781999,90,-4.4136218,5,5
"Polygon ((90.0000000000322018 25.58637819992733142, 95.0000000000322018 25.58637819992733142, 95.0000000000322018 20.58637819992733142, 90.0000000000322018 20.58637819992733142, 90.0000000000322018 25.58637819992733142))",37,90,25.5863782,95,20.5863782,0,6
"Polygon ((90.0000000000322018 20.58637819992733142, 95.0000000000322018 20.58637819992733142, 95.0000000000322018 15.58637819992733142, 90.0000000000322018 15.58637819992733142, 90.0000000000322018 20.58637819992733142))",38,90,20.5863782,95,15.5863782,1,6
"Polygon ((90.0000000000322018 15.58637819992733142, 95.0000000000322018 15.58637819992733142, 95.0000000000322018 10.58637819992733142, 90.0000000000322018 10.58637819992733142, 90.0000000000322018 15.58637819992733142))",39,90,15.5863782,95,10.5863782,2,6
"Polygon ((90.0000000000322018 10.58637819992733142, 95.0000000000322018 10.58637819992733142, 95.0000000000322018 5.58637819992733142, 90.0000000000322018 5.58637819992733142, 90.0000000000322018 10.58637819992733142))",40,90,10.5863782,95,5.5863782,3,6
"Polygon ((90.0000000000322018 5.58637819992733142, 95.0000000000322018 5.58637819992733142, 95.0000000000322018 0.58637819992733142, 90.0000000000322018 0.58637819992733142, 90.0000000000322018 5.58637819992733142))",41,90,5.5863782,95,0.5863781999,4,6
"Polygon ((90.0000000000322018 0.58637819992733142, 95.0000000000322018 0.58637819992733142, 95.0000000000322018 -4.41362180007266858, 90.0000000000322018 -4.41362180007266858, 90.0000000000322018 0.58637819992733142))",42,90,0.5863781999,95,-4.4136218,5,6
"Polygon ((95.0000000000322018 25.58637819992733142, 100.0000000000322018 25.58637819992733142, 100.0000000000322018 20.58637819992733142, 95.0000000000322018 20.58637819992733142, 95.0000000000322018 25.58637819992733142))",43,95,25.5863782,100,20.5863782,0,7
"Polygon ((95.0000000000322018 20.58637819992733142, 100.0000000000322018 20.58637819992733142, 100.0000000000322018 15.58637819992733142, 95.0000000000322018 15.58637819992733142, 95.0000000000322018 20.58637819992733142))",44,95,20.5863782,100,15.5863782,1,7
"Polygon ((95.0000000000322018 15.58637819992733142, 100.0000000000322018 15.58637819992733142, 100.0000000000322018 10.58637819992733142, 95.0000000000322018 10.58637819992733142, 95.0000000000322018 15.58637819992733142))",45,95,15.5863782,100,10.5863782,2,7
"Polygon ((95.0000000000322018 10.58637819992733142, 100.0000000000322018 10.58637819992733142, 100.0000000000322018 5.58637819992733142, 95.0000000000322018 5.58637819992733142, 95.0000000000322018 10.58637819992733142))",46,95,10.5863782,100,5.5863782,3,7
"Polygon ((95.0000000000322018 5.58637819992733142, 100.0000000000322018 5.58637819992733142, 100.0000000000322018 0.58637819992733142, 95.0000000000322018 0.58637819992733142, 95.0000000000322018 5.58637819992733142))",47,95,5.5863782,100,0.5863781999,4,7
"Polygon ((95.0000000000322018 0.58637819992733142, 100.0000000000322018 0.58637819992733142, 100.0000000000322018 -4.41362180007266858, 95.0000000000322018 -4.41362180007266858, 95.0000000000322018 0.58637819992733142))",48,95,0.5863781999,100,-4.4136218,5,7
